,address,postcode,latitude,longitude,bedroom_number,bathroom_number,price_per_unit,living_space,price,predicted_price
73596,"906 Queen Victoria Ct, El Dorado Hills, CA 95762",95762.0,38.693405,-121.08633,4,4,317,2297,649000,1319158
101264,"58635 Road 601, Ahwahnee, CA 93601",93601.0,37.40431,-119.72276,5,4,149,2918,399000,1353809
70323,"8841 Aquarius Ave, Elk Grove, CA 95624",95624.0,38.40457,-121.374596,7,4,214,3514,699999,1320773
179463,"2000 Glenview Dr, Las Vegas, NV 89134",89134.0,36.19531,-115.2931,6,6,339,5524,1790000,2612784
452083,"9101 NW 124th St, Yukon, OK 73099",73099.0,35.59558,-97.67462,4,3,177,2000,310550,474346
15082,"1816 Diamond Loop SE, Lacey, WA 98503",98503.0,47.030434,-122.79882,4,3,365,1550,475000,826612
62454,"74 Ia Iki St, Wailuku, HI 96793",96793.0,20.877798,-156.51282,5,4,763,2012,1345000,1095094
292494,"1612 Neely Ave, Midland, TX 79705",79705.0,32.01842,-102.100945,4,3,159,2259,320000,700063
259069,"210 E Pershing Blvd, Cheyenne, WY 82001",82001.0,41.146263,-104.820595,6,3,164,2832,425000,664334
308263,"1821 San Pedro Dr, Del Rio, TX 78840",78840.0,29.477554,-100.93526,4,3,164,2220,324900,668693
306215,"21101 Isle Of Glass St, Pflugerville, TX 78660",78660.0,30.463135,-97.554115,6,4,205,3016,569000,943963
352692,"3813 Sealy St, Galveston, TX 77550",77550.0,29.296148,-94.80991,5,3,228,3089,650000,809380
503776,"319 Saint Anthony St, Luling, LA 70070",70070.0,29.901382,-90.355446,5,3,166,1815,260000,204000
474312,"8 Carpintero Ln, Hot Springs Village, AR 71909",71909.0,34.63363,-92.85445,4,4,199,3550,659000,1284605
547825,"520 Leather Reins Dr, Wentzville, MO 63385",63385.0,38.842434,-90.86677,5,4,175,2155,334931,471774
247379,"Friberg Plan, Canyon Point at Traverse Mountain - The Summit Collection",84043.0,40.455917,-111.87987,5,5,190,6422,1174995,2692099
53122,"439 Keoniana St PENTHOUSE 3, Honolulu, HI 96815",96815.0,21.285677,-157.83136,4,4,547,1885,895000,1193464
179157,"1104 Daybreak Ln, Mesquite, NV 89027",89027.0,36.81868,-114.10748,4,4,327,3307,1000000,1543453
139117,"69801 Ramon Rd #80, Cathedral City, CA 92234",92234.0,33.814774,-116.44304,2,2,222,650,89000,384078
595526,"25451 Medinah Ln LOT 76, Shorewood, IL 60404",60404.0,41.49852,-88.23341,5,4,172,3014,477745,717984
225248,"12117 N 137th Way, Scottsdale, AZ 85259",85259.0,33.596485,-111.78393,5,4,496,3019,1375000,1221454
164677,"10601 Wilshire Blvd #19E, Los Angeles, CA 90024",90024.0,34.06167,-118.43434,6,8,2570,7250,17995000,3809239
546268,"1 Arlington At Charlestowne Mdws, Saint Charles, MO 63301",63301.0,38.830708,-90.480125,3,3,199,1501,249900,241822
85295,"650 Vasona St, Milpitas, CA 95035",95035.0,37.437473,-121.909904,4,3,1158,1527,1479000,748408
248353,"4642 E Jordan Way, Eagle Mountain, UT 84005",84005.0,40.31475,-112.00115,6,5,163,2641,389900,1199537
324982,"739 McKinley Ave, San Antonio, TX 78210",78210.0,29.39274,-98.47568,4,3,176,1624,242000,443401
408358,"109 County Road 681, Teague, TX 75860",75860.0,31.579493,-96.154755,5,4,173,2874,455000,980022
108312,"10440 Trumbull St, California City, CA 93505",93505.0,35.13528,-117.94203,4,3,170,2132,320000,933312
394342,"908 Turtle Bend Dr, Killeen, TX 76542",76542.0,31.08837,-97.73511,5,3,131,1995,230000,398836
123016,"2105 El Toro Cir, Hemet, CA 92545",92545.0,33.762985,-116.99512,3,3,259,1407,299900,798571
358498,"608 E Emily Ave, Wharton, TX 77488",77488.0,29.333368,-96.085014,4,3,110,2429,239900,715948
236979,"225 W Orchard Pl, Salt Lake City, UT 84101",84101.0,40.757168,-111.89771,4,4,406,2954,1100000,1318119
398246,"2231 Diamond Oaks Rd, Stephenville, TX 76401",76401.0,32.322742,-98.18756,4,6,286,3729,995000,2001995
529103,"25800 Sassafras Ln, Laquey, MO 65534",65534.0,37.746502,-92.30876,4,4,155,3150,450000,1013260
374966,"14664 Pine St, New Caney, TX 77357",77357.0,30.104841,-95.15868,5,4,120,2432,262990,852590
220340,"2428 E Inglewood St, Mesa, AZ 85213",85213.0,33.447002,-111.77852,4,3,257,2436,563000,874370
533625,"572 Clearwater Dr #4C, Camdenton, MO 65020",65020.0,38.015263,-92.81883,4,4,191,1815,299000,526730
425806,"138 Larchbrook Dr, Desoto, TX 75115",75115.0,32.59181,-96.83484,5,5,139,3109,399900,1330241
290955,"SIERRA Plan, Legacy Addition",79706.0,31.98801,-102.1685,5,4,159,2926,427990,1076199
412766,"Dewberry II Plan, Parks at Panchasarp Farms",76028.0,32.502087,-97.373146,5,4,169,3284,512990,1129648
1810,"4505 S Trellis Ave, Palmer, AK 99645",99645.0,61.53077,-149.07355,4,2,300,1290,313000,475490
119599,"9 Firenze Ct, Newport Coast, CA 92657",92657.0,33.603397,-117.82709,3,3,1169,1404,1350000,799762
242212,"10565 S Featherwood Dr, South Jordan, UT 84095",84095.0,40.559338,-111.9516,7,4,209,3358,650000,1032425
317253,"2417 Meadowlark St #385, Mission, TX 78572",78572.0,26.21133,-98.371994,2,2,131,641,51500,105107
173714,"9520 Victory Garden Ave, Las Vegas, NV 89149",89149.0,36.300896,-115.30432,4,4,206,2672,499990,1319429
422941,"205 Paris St, Cumby, TX 75433",75433.0,33.139328,-95.844406,4,2,40,1538,52500,75236
172983,"7247 Laveta Ln, Las Vegas, NV 89156",89156.0,36.20003,-115.01432,6,3,265,2127,499000,557301
176498,"6625 Fort William St, North Las Vegas, NV 89084",89084.0,36.28117,-115.16474,5,4,168,3921,620000,1620377
512756,"118 Hummingbird Dr, McPherson, KS 67460",67460.0,38.374985,-97.63496,4,3,20,1930,35000,335559
218556,"8236 E Glenrosa Ave, Scottsdale, AZ 85251",85251.0,33.498753,-111.90318,4,3,580,1800,899000,648294
282061,"4230 S Yukon Way, Lakewood, CO 80235",80235.0,39.64032,-105.08216,7,5,213,4772,965000,1740284
164325,"18111 Coastline Dr APT 3, Malibu, CA 90265",90265.0,34.043316,-118.57009,3,3,1240,1450,1488000,767887
582565,"360 E Randolph St APT 3402, Chicago, IL 60601",60601.0,41.884876,-87.617935,3,3,450,1750,675000,276135
539345,"403 S Spring St, Independence, MO 64050",64050.0,39.088814,-94.41968,2,2,115,943,80000,80297
292787,"1620 E Pecan Ave, Midland, TX 79705",79705.0,32.027462,-102.06249,4,2,160,1465,195000,135428
268329,"33 Lakeview Blvd, Kinnear, WY 82516",82516.0,43.201073,-108.7737,5,3,190,1978,329000,513355
324599,"2321 Sky Crest St, Corpus Christi, TX 78418",78418.0,27.65535,-97.30993,4,3,208,1547,270900,420136
